Mon May 22 14:18:50 2017,689567_Cover_B_Black.tif
Mon May 22 14:18:58 2017,689567_Cover_B_Cyan.tif
Mon May 22 14:19:06 2017,689567_Cover_B_Magenta.tif
Mon May 22 14:19:15 2017,689567_Cover_B_Yellow.tif
Mon May 22 14:18:16 2017,689567_Cover_F_Black.tif
Mon May 22 14:18:25 2017,689567_Cover_F_Cyan.tif
Mon May 22 14:18:34 2017,689567_Cover_F_Magenta.tif
Mon May 22 14:18:43 2017,689567_Cover_F_Yellow.tif
Mon May 22 14:24:13 2017,690589_8up letterhead + 1up second sheet_F_Black.tif
Mon May 22 14:24:22 2017,690589_8up letterhead + 1up second sheet_F_PANTONE 1375 C.tif
Mon May 22 14:24:17 2017,690589_8up letterhead + 1up second sheet_F_PANTONE 485 CV.tif
Mon May 22 15:01:42 2017,690618_6F+6B on same Sheet_F_Black.tif
Mon May 22 15:01:46 2017,690618_6F+6B on same Sheet_F_Cyan.tif
Mon May 22 15:01:50 2017,690618_6F+6B on same Sheet_F_Magenta.tif
Mon May 22 15:01:59 2017,690618_6F+6B on same Sheet_F_PANTONE 214 C 2.tif
Mon May 22 15:02:03 2017,690618_6F+6B on same Sheet_F_PANTONE 368 C 2.tif
Mon May 22 15:01:55 2017,690618_6F+6B on same Sheet_F_Yellow.tif
Mon May 22 15:15:39 2017,690444_10up same_B_Black.tif
Mon May 22 15:15:43 2017,690444_10up same_B_Cyan.tif
Mon May 22 15:15:47 2017,690444_10up same_B_Magenta.tif
Mon May 22 15:15:52 2017,690444_10up same_B_Yellow.tif
Mon May 22 15:15:17 2017,690444_10up same_F_Black.tif
Mon May 22 15:15:21 2017,690444_10up same_F_Cyan.tif
Mon May 22 15:15:26 2017,690444_10up same_F_Magenta.tif
Mon May 22 15:15:34 2017,690444_10up same_F_PANTONE 368 C.tif
Mon May 22 15:15:30 2017,690444_10up same_F_Yellow.tif
Mon May 22 15:30:56 2017,690613_4up same_F_Black.tif
Mon May 22 15:31:00 2017,690613_4up same_F_Cyan.tif
Mon May 22 15:31:05 2017,690613_4up same_F_Magenta.tif
Mon May 22 15:31:14 2017,690613_4up same_F_PANTONE 214 C.tif
Mon May 22 15:31:19 2017,690613_4up same_F_PANTONE 368 C.tif
Mon May 22 15:31:10 2017,690613_4up same_F_Yellow.tif
Mon May 22 20:50:56 2017,690612_4up same_F_Black.tif
Mon May 22 20:51:00 2017,690612_4up same_F_Cyan.tif
Mon May 22 20:51:05 2017,690612_4up same_F_Magenta.tif
Mon May 22 20:51:15 2017,690612_4up same_F_PANTONE 214 C.tif
Mon May 22 20:51:19 2017,690612_4up same_F_PANTONE 368 C.tif
Mon May 22 20:51:10 2017,690612_4up same_F_Yellow.tif
Mon May 22 21:21:12 2017,690614_6up same_F_Black.tif
Mon May 22 21:21:17 2017,690614_6up same_F_Cyan.tif
Mon May 22 21:21:22 2017,690614_6up same_F_Magenta.tif
Mon May 22 21:21:35 2017,690614_6up same_F_PANTONE 214 C.tif
Mon May 22 21:21:31 2017,690614_6up same_F_PANTONE 368 C.tif
Mon May 22 21:21:27 2017,690614_6up same_F_Yellow.tif
Mon May 22 21:42:23 2017,690616_6up same_F_Black.tif
Mon May 22 21:42:28 2017,690616_6up same_F_Cyan.tif
Mon May 22 21:42:33 2017,690616_6up same_F_Magenta.tif
Mon May 22 21:42:46 2017,690616_6up same_F_PANTONE 214 C.tif
Mon May 22 21:42:42 2017,690616_6up same_F_PANTONE 368 C.tif
Mon May 22 21:42:37 2017,690616_6up same_F_Yellow.tif
Tue May 23 07:03:26 2017,687387 Diwali WT_10up same Booklet_B_Black.tif
Tue May 23 07:03:34 2017,687387 Diwali WT_10up same Booklet_B_Cyan.tif
Tue May 23 07:03:41 2017,687387 Diwali WT_10up same Booklet_B_Magenta.tif
Tue May 23 07:03:46 2017,687387 Diwali WT_10up same Booklet_B_Yellow.tif
Tue May 23 07:02:43 2017,687387 Diwali WT_10up same Booklet_F_Black.tif
Tue May 23 07:02:49 2017,687387 Diwali WT_10up same Booklet_F_Cyan.tif
Tue May 23 07:02:55 2017,687387 Diwali WT_10up same Booklet_F_Magenta.tif
Tue May 23 07:03:09 2017,687387 Diwali WT_10up same Booklet_F_PANTONE 200 C.tif
Tue May 23 07:03:13 2017,687387 Diwali WT_10up same Booklet_F_Tag.tif
Tue May 23 07:03:03 2017,687387 Diwali WT_10up same Booklet_F_Yellow.tif
Tue May 23 07:04:00 2017,687387 Diwali WT_18up same SS_F_Black.tif
Tue May 23 07:04:06 2017,687387 Diwali WT_18up same SS_F_Cyan.tif
Tue May 23 07:04:12 2017,687387 Diwali WT_18up same SS_F_Magenta.tif
Tue May 23 07:04:22 2017,687387 Diwali WT_18up same SS_F_PANTONE 200 C.tif
Tue May 23 07:04:26 2017,687387 Diwali WT_18up same SS_F_Tag.tif
Tue May 23 07:04:17 2017,687387 Diwali WT_18up same SS_F_Yellow.tif
Tue May 23 07:04:31 2017,687387 Diwali WT_10up same Booklet001_F_Gloss Varnish.tif
Tue May 23 07:04:36 2017,687387 Diwali WT_18up same SS002_F_Gloss Varnish.tif
Tue May 23 08:25:41 2017,690687_6up same_F_Black.tif
Tue May 23 08:25:46 2017,690687_6up same_F_Cyan.tif
Tue May 23 08:25:51 2017,690687_6up same_F_Magenta.tif
Tue May 23 08:26:06 2017,690687_6up same_F_PANTONE 214 C.tif
Tue May 23 08:26:01 2017,690687_6up same_F_PANTONE 368 C.tif
Tue May 23 08:25:56 2017,690687_6up same_F_Yellow.tif
Tue May 23 08:40:59 2017,690390 BDT_690390 BDT_FB 001_F_Black.tif
Tue May 23 08:41:04 2017,690390 BDT_690390 BDT_FB 001_F_Cyan.tif
Tue May 23 08:41:11 2017,690390 BDT_690390 BDT_FB 001_F_Magenta.tif
Tue May 23 08:41:23 2017,690390 BDT_690390 BDT_FB 001_F_Metallic Gold.tif
Tue May 23 08:41:18 2017,690390 BDT_690390 BDT_FB 001_F_Yellow.tif
Tue May 23 08:56:56 2017,690461_8F+8B on same Bro (GRAIN WITH FOLD)_F_Black.tif
Tue May 23 08:57:01 2017,690461_8F+8B on same Bro (GRAIN WITH FOLD)_F_Cyan.tif
Tue May 23 08:57:05 2017,690461_8F+8B on same Bro (GRAIN WITH FOLD)_F_Magenta.tif
Tue May 23 08:57:10 2017,690461_8F+8B on same Bro (GRAIN WITH FOLD)_F_Yellow.tif
Tue May 23 10:15:25 2017,690617_10up same_B_Black.tif
Tue May 23 10:15:29 2017,690617_10up same_B_Cyan.tif
Tue May 23 10:15:33 2017,690617_10up same_B_Magenta.tif
Tue May 23 10:15:46 2017,690617_10up same_B_PANTONE 214 C.tif
Tue May 23 10:15:42 2017,690617_10up same_B_PANTONE 368 C.tif
Tue May 23 10:15:37 2017,690617_10up same_B_Yellow.tif
Tue May 23 10:14:58 2017,690617_10up same_F_Black.tif
Tue May 23 10:15:03 2017,690617_10up same_F_Cyan.tif
Tue May 23 10:15:07 2017,690617_10up same_F_Magenta.tif
Tue May 23 10:15:20 2017,690617_10up same_F_PANTONE 214 C.tif
Tue May 23 10:15:16 2017,690617_10up same_F_PANTONE 368 C.tif
Tue May 23 10:15:11 2017,690617_10up same_F_Yellow.tif
Tue May 23 10:39:47 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Black.tif
Tue May 23 10:39:55 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Cyan.tif
Tue May 23 10:40:03 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Magenta.tif
Tue May 23 10:40:21 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_PANTONE 485 C.tif
Tue May 23 10:40:16 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_PANTONE 8480 C.tif
Tue May 23 10:40:30 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Spot Varn.tif
Tue May 23 10:40:25 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Tag.tif
Tue May 23 10:40:11 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Yellow.tif
Tue May 23 11:12:01 2017,690785_FB 001_F_Black.tif
Tue May 23 11:31:12 2017,690424_4up same_F_Black.tif
Tue May 23 11:31:17 2017,690424_4up same_F_Cyan.tif
Tue May 23 11:31:22 2017,690424_4up same_F_Magenta.tif
Tue May 23 11:31:27 2017,690424_4up same_F_Yellow.tif
Tue May 23 12:05:14 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Black.tif
Tue May 23 12:05:22 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Cyan.tif
Tue May 23 12:05:30 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Magenta.tif
Tue May 23 12:05:48 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_PANTONE 485 C.tif
Tue May 23 12:05:43 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_PANTONE 8480 C.tif
Tue May 23 12:05:57 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Spot Varn.tif
Tue May 23 12:05:52 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Tag.tif
Tue May 23 12:05:38 2017,690648 Hockey 2017 Essay_1up each 4diff BKLT + 2diff SS_F_Yellow.tif
Tue May 23 13:20:38 2017,690615_6up same_F_Black.tif
Tue May 23 13:20:43 2017,690615_6up same_F_Cyan.tif
Tue May 23 13:20:48 2017,690615_6up same_F_Magenta.tif
Tue May 23 13:21:02 2017,690615_6up same_F_PANTONE 214 C.tif
Tue May 23 13:20:57 2017,690615_6up same_F_PANTONE 368 C.tif
Tue May 23 13:20:53 2017,690615_6up same_F_Yellow.tif
Tue May 23 13:59:34 2017,690755_Sig3_16pg_B_Black.tif
Tue May 23 13:59:30 2017,690755_Sig3_16pg_F_Black.tif
Tue May 23 13:59:43 2017,690755_Sig1_16pg_B_Black.tif
Tue May 23 13:59:39 2017,690755_Sig1_16pg_F_Black.tif
Tue May 23 13:59:52 2017,690755_Sig2_4pg-4up same_B_Black.tif
Tue May 23 13:59:48 2017,690755_Sig2_4pg-4up same_F_Black.tif
Tue May 23 14:00:02 2017,690755_Sig6_16pg_B_Black.tif
Tue May 23 13:59:57 2017,690755_Sig6_16pg_F_Black.tif
Tue May 23 14:00:11 2017,690755_Sig5_16pg_B_Black.tif
Tue May 23 14:00:06 2017,690755_Sig5_16pg_F_Black.tif
Tue May 23 14:00:20 2017,690755_Sig4_16pg_B_Black.tif
Tue May 23 14:00:16 2017,690755_Sig4_16pg_F_Black.tif
Tue May 23 14:00:29 2017,690755_Sig9_16pg_B_Black.tif
Tue May 23 14:00:25 2017,690755_Sig9_16pg_F_Black.tif
Tue May 23 14:00:39 2017,690755_Sig8_16pg_B_Black.tif
Tue May 23 14:00:34 2017,690755_Sig8_16pg_F_Black.tif
Tue May 23 14:00:48 2017,690755_Sig7_16pg_B_Black.tif
Tue May 23 14:00:43 2017,690755_Sig7_16pg_F_Black.tif
Tue May 23 14:00:59 2017,690755_Sig10_16pg_B_Black.tif
Tue May 23 14:00:54 2017,690755_Sig10_16pg_F_Black.tif
Tue May 23 14:01:09 2017,690755_Cover-2up same_B_Black.tif
Tue May 23 14:01:05 2017,690755_Cover-2up same_F_Black.tif
Tue May 23 15:11:55 2017,690811_Sg2-16pg_B_Black.tif
Tue May 23 15:12:02 2017,690811_Sg2-16pg_B_Cyan.tif
Tue May 23 15:12:09 2017,690811_Sg2-16pg_B_Magenta.tif
Tue May 23 15:12:17 2017,690811_Sg2-16pg_B_Yellow.tif
Tue May 23 15:11:23 2017,690811_Sg2-16pg_F_Black.tif
Tue May 23 15:11:31 2017,690811_Sg2-16pg_F_Cyan.tif
Tue May 23 15:11:40 2017,690811_Sg2-16pg_F_Magenta.tif
Tue May 23 15:11:48 2017,690811_Sg2-16pg_F_Yellow.tif
Mon Aug 28 08:46:20 2017,692335_Sig9 16pg_B_Black.tif
Mon Aug 28 08:46:29 2017,692335_Sig9 16pg_B_Cyan.tif
Mon Aug 28 08:46:38 2017,692335_Sig9 16pg_B_Magenta.tif
Mon Aug 28 08:46:50 2017,692335_Sig9 16pg_B_Satin Varnish.tif
Mon Aug 28 08:46:46 2017,692335_Sig9 16pg_B_Yellow.tif
Mon Aug 28 08:45:34 2017,692335_Sig9 16pg_F_Black.tif
Mon Aug 28 08:45:45 2017,692335_Sig9 16pg_F_Cyan.tif
Mon Aug 28 08:45:55 2017,692335_Sig9 16pg_F_Magenta.tif
Mon Aug 28 08:46:11 2017,692335_Sig9 16pg_F_Satin Varnish.tif
Mon Aug 28 08:46:06 2017,692335_Sig9 16pg_F_Yellow.tif
Mon Sep 25 08:16:09 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_Black.tif
Mon Sep 25 08:16:15 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_Cyan.tif
Mon Sep 25 08:16:21 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_Magenta.tif
Mon Sep 25 08:16:35 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_Tag.tif
Mon Sep 25 08:16:31 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_TopStar Gold.tif
Mon Sep 25 08:16:26 2017,693892 PCI Dog panes_Form3 1up each of 4diff_F_Yellow.tif
Mon Sep 25 10:42:42 2017,692162_Cover_B_Black.tif
Mon Sep 25 10:42:49 2017,692162_Cover_B_Cyan.tif
Mon Sep 25 10:42:55 2017,692162_Cover_B_Magenta.tif
Mon Sep 25 10:43:01 2017,692162_Cover_B_Yellow.tif
Mon Sep 25 10:42:02 2017,692162_Cover_F_Black.tif
Mon Sep 25 10:42:13 2017,692162_Cover_F_Cyan.tif
Mon Sep 25 10:42:24 2017,692162_Cover_F_Magenta.tif
Mon Sep 25 10:42:36 2017,692162_Cover_F_Yellow.tif
Mon Sep 25 11:11:29 2017,694173_12-up same_F_Black.tif
Mon Sep 25 11:11:37 2017,694173_12-up same_F_Cyan.tif
Mon Sep 25 11:11:46 2017,694173_12-up same_F_Magenta.tif
Mon Sep 25 11:11:59 2017,694173_12-up same_F_Varnish.tif
Mon Sep 25 11:11:54 2017,694173_12-up same_F_Yellow.tif
Mon Sep 25 11:43:49 2017,694126_3f + 3b french & 1f + 1b english_F_Black.tif
Mon Sep 25 11:43:55 2017,694126_3f + 3b french & 1f + 1b english_F_Cyan.tif
Mon Sep 25 11:44:00 2017,694126_3f + 3b french & 1f + 1b english_F_Magenta.tif
Mon Sep 25 11:44:07 2017,694126_3f + 3b french & 1f + 1b english_F_Yellow.tif
Mon Sep 25 11:44:38 2017,694126_4x8pp english_B_Black.tif
Mon Sep 25 11:44:44 2017,694126_4x8pp english_B_Cyan.tif
Mon Sep 25 11:44:50 2017,694126_4x8pp english_B_Magenta.tif
Mon Sep 25 11:44:55 2017,694126_4x8pp english_B_Yellow.tif
Mon Sep 25 11:44:14 2017,694126_4x8pp english_F_Black.tif
Mon Sep 25 11:44:20 2017,694126_4x8pp english_F_Cyan.tif
Mon Sep 25 11:44:26 2017,694126_4x8pp english_F_Magenta.tif
Mon Sep 25 11:44:32 2017,694126_4x8pp english_F_Yellow.tif
Mon Sep 25 11:45:26 2017,694126_4x8pp french_B_Black.tif
Mon Sep 25 11:45:32 2017,694126_4x8pp french_B_Cyan.tif
Mon Sep 25 11:45:38 2017,694126_4x8pp french_B_Magenta.tif
Mon Sep 25 11:45:44 2017,694126_4x8pp french_B_Yellow.tif
Mon Sep 25 11:45:03 2017,694126_4x8pp french_F_Black.tif
Mon Sep 25 11:45:09 2017,694126_4x8pp french_F_Cyan.tif
Mon Sep 25 11:45:14 2017,694126_4x8pp french_F_Magenta.tif
Mon Sep 25 11:45:20 2017,694126_4x8pp french_F_Yellow.tif
Mon Sep 25 13:29:26 2017,694000_cover 2f + 2b_F_Black.tif
Mon Sep 25 13:29:37 2017,694000_cover 2f + 2b_F_Cyan.tif
Mon Sep 25 13:29:48 2017,694000_cover 2f + 2b_F_Magenta.tif
Mon Sep 25 13:29:59 2017,694000_cover 2f + 2b_F_Yellow.tif
Mon Sep 25 13:30:53 2017,694000_16pp_B_Black.tif
Mon Sep 25 13:31:02 2017,694000_16pp_B_Cyan.tif
Mon Sep 25 13:31:10 2017,694000_16pp_B_Magenta.tif
Mon Sep 25 13:31:19 2017,694000_16pp_B_Yellow.tif
Mon Sep 25 13:30:17 2017,694000_16pp_F_Black.tif
Mon Sep 25 13:30:27 2017,694000_16pp_F_Cyan.tif
Mon Sep 25 13:30:36 2017,694000_16pp_F_Magenta.tif
Mon Sep 25 13:30:44 2017,694000_16pp_F_Yellow.tif
Mon Sep 25 13:58:54 2017,693905 AN Post_4up same_F_Black.tif
Mon Sep 25 13:59:00 2017,693905 AN Post_4up same_F_Cyan.tif
Mon Sep 25 13:59:06 2017,693905 AN Post_4up same_F_Magenta.tif
Mon Sep 25 13:59:16 2017,693905 AN Post_4up same_F_TAG.tif
Mon Sep 25 13:59:11 2017,693905 AN Post_4up same_F_Yellow.tif
Mon Sep 25 17:07:48 2017,694141_8up same_F_Black.tif
Mon Sep 25 17:16:27 2017,694170_Sg1_12pg + Sg2_8pg_B_Black.tif
Mon Sep 25 17:16:22 2017,694170_Sg1_12pg + Sg2_8pg_F_Black.tif
Mon Sep 25 17:27:26 2017,694118_2up same on XL_B_Black.tif
Mon Sep 25 17:27:37 2017,694118_2up same on XL_B_Cyan.tif
Mon Sep 25 17:27:45 2017,694118_2up same on XL_B_Magenta.tif
Mon Sep 25 17:27:54 2017,694118_2up same on XL_B_Yellow.tif
Mon Sep 25 17:26:50 2017,694118_2up same on XL_F_Black.tif
Mon Sep 25 17:27:01 2017,694118_2up same on XL_F_Cyan.tif
Mon Sep 25 17:27:09 2017,694118_2up same on XL_F_Magenta.tif
Mon Sep 25 17:27:18 2017,694118_2up same on XL_F_Yellow.tif
Mon Sep 25 17:52:42 2017,693924_Fm1-13up of 5 diff_B_Black.tif
Mon Sep 25 17:52:48 2017,693924_Fm1-13up of 5 diff_B_Cyan.tif
Mon Sep 25 17:52:55 2017,693924_Fm1-13up of 5 diff_B_Magenta.tif
Mon Sep 25 17:53:01 2017,693924_Fm1-13up of 5 diff_B_Yellow.tif
Mon Sep 25 17:52:03 2017,693924_Fm1-13up of 5 diff_F_Black.tif
Mon Sep 25 17:52:14 2017,693924_Fm1-13up of 5 diff_F_Cyan.tif
Mon Sep 25 17:52:24 2017,693924_Fm1-13up of 5 diff_F_Magenta.tif
Mon Sep 25 17:52:34 2017,693924_Fm1-13up of 5 diff_F_Yellow.tif
Mon Sep 25 18:18:20 2017,693940_Sig1+2 16pg each_B_Black.tif
Mon Sep 25 18:18:27 2017,693940_Sig1+2 16pg each_B_Cyan.tif
Mon Sep 25 18:18:34 2017,693940_Sig1+2 16pg each_B_Magenta.tif
Mon Sep 25 18:18:40 2017,693940_Sig1+2 16pg each_B_Yellow.tif
Mon Sep 25 18:17:48 2017,693940_Sig1+2 16pg each_F_Black.tif
Mon Sep 25 18:17:57 2017,693940_Sig1+2 16pg each_F_Cyan.tif
Mon Sep 25 18:18:05 2017,693940_Sig1+2 16pg each_F_Magenta.tif
Mon Sep 25 18:18:13 2017,693940_Sig1+2 16pg each_F_Yellow.tif
Mon Sep 25 18:19:22 2017,693940_Sig3 12pg_B_Black.tif
Mon Sep 25 18:19:28 2017,693940_Sig3 12pg_B_Cyan.tif
Mon Sep 25 18:19:35 2017,693940_Sig3 12pg_B_Magenta.tif
Mon Sep 25 18:19:41 2017,693940_Sig3 12pg_B_Yellow.tif
Mon Sep 25 18:18:50 2017,693940_Sig3 12pg_F_Black.tif
Mon Sep 25 18:18:58 2017,693940_Sig3 12pg_F_Cyan.tif
Mon Sep 25 18:19:06 2017,693940_Sig3 12pg_F_Magenta.tif
Mon Sep 25 18:19:15 2017,693940_Sig3 12pg_F_Yellow.tif
Mon Sep 25 18:20:43 2017,693940_8up same_B_Black.tif
Mon Sep 25 18:20:48 2017,693940_8up same_B_Cyan.tif
Mon Sep 25 18:20:59 2017,693940_8up same_B_Magenta.tif
Mon Sep 25 18:21:04 2017,693940_8up same_B_Yellow.tif
Mon Sep 25 18:19:57 2017,693940_8up same_F_Black.tif
Mon Sep 25 18:20:08 2017,693940_8up same_F_Cyan.tif
